%----------------------------------------------------------------
%  Reference : H. Abe, H. Kawamura and Y. Matsuo,
%  "Surface heat-flux fluctuations in a turbulent channel flow
%  up to Re_tau=1020 with Pr=0.025 and 0.71," 
%  Int. J. Heat and Fluid Flow, vol. 25, pp. 404-419, 2004.
%  DOI: https://doi.org/10.1016/j.ijheatfluidflow.2004.02.010
%----------------------------------------------------------------
Case: cha1020

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     6.38 and 4.25 wall units in the x- and z-directions
     and 0.15 to 7.32 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 448 x 1536

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 13,950 nu/u_tau^2
     after the flow reaches the fully developed state.  This integration time
     corresponds to about 20 washing out times through the computational domain.


2. Conditions

2.1. Specified conditions

     Re_tau = 1020

2.2. Obtained mean quantities

     Re_bulk = 41441


3. Turbulence statistics

  j      y+            u_mean            uu+            ww+
195   0.814342e+03   0.226983e+02   0.106155e+01   0.525899e+00
196   0.821088e+03   0.227203e+02   0.104313e+01   0.519510e+00
197   0.827846e+03   0.227416e+02   0.102505e+01   0.513284e+00
198   0.834615e+03   0.227625e+02   0.100732e+01   0.507230e+00
199   0.841396e+03   0.227827e+02   0.989923e+00   0.501340e+00
200   0.848189e+03   0.228022e+02   0.972864e+00   0.495599e+00
201   0.854995e+03   0.228212e+02   0.956137e+00   0.490009e+00
202   0.861814e+03   0.228395e+02   0.939739e+00   0.484582e+00
203   0.868646e+03   0.228572e+02   0.923697e+00   0.479340e+00
204   0.875493e+03   0.228742e+02   0.908077e+00   0.474299e+00
205   0.882354e+03   0.228905e+02   0.892954e+00   0.469466e+00
206   0.889230e+03   0.229062e+02   0.878374e+00   0.464834e+00
207   0.896121e+03   0.229212e+02   0.864351e+00   0.460387e+00
208   0.903029e+03   0.229354e+02   0.850896e+00   0.456112e+00
209   0.909954e+03   0.229490e+02   0.838029e+00   0.452002e+00
210   0.916896e+03   0.229619e+02   0.825787e+00   0.448046e+00
211   0.923857e+03   0.229741e+02   0.814206e+00   0.444242e+00
212   0.930836e+03   0.229855e+02   0.803302e+00   0.440602e+00
213   0.937834e+03   0.229961e+02   0.793092e+00   0.437140e+00
214   0.944853e+03   0.230059e+02   0.783593e+00   0.433879e+00
215   0.951893e+03   0.230149e+02   0.774832e+00   0.430839e+00
216   0.958955e+03   0.230230e+02   0.766839e+00   0.428024e+00
217   0.966040e+03   0.230303e+02   0.759652e+00   0.425430e+00
218   0.973149e+03   0.230367e+02   0.753305e+00   0.423074e+00
219   0.980282e+03   0.230423e+02   0.747824e+00   0.420973e+00
220   0.987441e+03   0.230470e+02   0.743229e+00   0.419153e+00
221   0.994627e+03   0.230508e+02   0.739541e+00   0.417657e+00
222   0.100184e+04   0.230537e+02   0.736776e+00   0.416522e+00
223   0.100908e+04   0.230557e+02   0.734933e+00   0.415770e+00
224   0.101636e+04   0.230567e+02   0.734011e+00   0.415403e+00

  j        y+            vv+           -uv+
  1   0.307891e+00   0.127630e-05   0.311086e-04
  2   0.623764e+00   0.187046e-04   0.261800e-03
  3   0.948904e+00   0.897584e-04   0.934969e-03
  4   0.128462e+01   0.271770e-03   0.234588e-02
  5   0.163222e+01   0.639221e-03   0.484219e-02
  6   0.199305e+01   0.128175e-02   0.881828e-02
  7   0.236846e+01   0.230254e-02   0.147029e-01
  8   0.275981e+01   0.381682e-02   0.229404e-01
  9   0.316846e+01   0.595043e-02   0.339654e-01
 10   0.359579e+01   0.883814e-02   0.481733e-01
 11   0.404316e+01   0.126219e-01   0.658886e-01
 12   0.451197e+01   0.174490e-01   0.873341e-01
 13   0.500358e+01   0.234696e-01   0.112605e+00
 14   0.551938e+01   0.308348e-01   0.141650e+00
 15   0.606072e+01   0.396941e-01   0.174266e+00
 16   0.662896e+01   0.501922e-01   0.210098e+00
 17   0.722546e+01   0.624668e-01   0.248660e+00
 18   0.785156e+01   0.766449e-01   0.289357e+00
 19   0.850859e+01   0.928387e-01   0.331525e+00
 20   0.919784e+01   0.111142e+00   0.374463e+00
 21   0.992063e+01   0.131626e+00   0.417478e+00
 22   0.106782e+02   0.154332e+00   0.459920e+00
 23   0.114719e+02   0.179272e+00   0.501208e+00
 24   0.123028e+02   0.206419e+00   0.540853e+00
 25   0.131723e+02   0.235710e+00   0.578469e+00
 26   0.140815e+02   0.267040e+00   0.613776e+00
 27   0.150315e+02   0.300265e+00   0.646593e+00
 28   0.160236e+02   0.335203e+00   0.676830e+00
 29   0.170588e+02   0.371640e+00   0.704473e+00
 30   0.181382e+02   0.409333e+00   0.729568e+00
 31   0.192629e+02   0.448015e+00   0.752208e+00
 32   0.204339e+02   0.487408e+00   0.772520e+00
 33   0.216522e+02   0.527225e+00   0.790649e+00
 34   0.229187e+02   0.567176e+00   0.806752e+00
 35   0.242345e+02   0.606982e+00   0.820992e+00
 36   0.256004e+02   0.646371e+00   0.833528e+00
 37   0.270173e+02   0.685094e+00   0.844516e+00
 38   0.284861e+02   0.722917e+00   0.854099e+00
 39   0.300074e+02   0.759635e+00   0.862416e+00
 40   0.315822e+02   0.795066e+00   0.869591e+00
 41   0.332112e+02   0.829055e+00   0.875740e+00
 42   0.348950e+02   0.861478e+00   0.880970e+00
 43   0.366344e+02   0.892235e+00   0.885377e+00
 44   0.384300e+02   0.921254e+00   0.889045e+00
 45   0.402823e+02   0.948488e+00   0.892052e+00
 46   0.421920e+02   0.973911e+00   0.894469e+00
 47   0.441596e+02   0.997516e+00   0.896359e+00
 48   0.461856e+02   0.101931e+01   0.897782e+00
 49   0.482704e+02   0.103933e+01   0.898788e+00
 50   0.504145e+02   0.105762e+01   0.899423e+00
 51   0.526183e+02   0.107421e+01   0.899727e+00
 52   0.548821e+02   0.108918e+01   0.899733e+00
 53   0.572062e+02   0.110261e+01   0.899471e+00
 54   0.595910e+02   0.111457e+01   0.898965e+00
 55   0.620367e+02   0.112514e+01   0.898238e+00
 56   0.645435e+02   0.113441e+01   0.897309e+00
 57   0.671117e+02   0.114249e+01   0.896198e+00
 58   0.697412e+02   0.114945e+01   0.894919e+00
 59   0.724324e+02   0.115539e+01   0.893486e+00
 60   0.751852e+02   0.116039e+01   0.891908e+00
 61   0.779997e+02   0.116455e+01   0.890193e+00
 62   0.808760e+02   0.116793e+01   0.888347e+00
 63   0.838139e+02   0.117060e+01   0.886378e+00
 64   0.868136e+02   0.117263e+01   0.884293e+00
 65   0.898749e+02   0.117408e+01   0.882098e+00
 66   0.929976e+02   0.117500e+01   0.879800e+00
 67   0.961818e+02   0.117544e+01   0.877404e+00
 68   0.994271e+02   0.117545e+01   0.874914e+00
 69   0.102733e+03   0.117508e+01   0.872332e+00
 70   0.106101e+03   0.117435e+01   0.869660e+00
 71   0.109528e+03   0.117331e+01   0.866901e+00
 72   0.113016e+03   0.117199e+01   0.864055e+00
 73   0.116564e+03   0.117040e+01   0.861125e+00
 74   0.120172e+03   0.116856e+01   0.858114e+00
 75   0.123839e+03   0.116649e+01   0.855023e+00
 76   0.127564e+03   0.116421e+01   0.851852e+00
 77   0.131349e+03   0.116174e+01   0.848603e+00
 78   0.135191e+03   0.115909e+01   0.845279e+00
 79   0.139091e+03   0.115627e+01   0.841881e+00
 80   0.143048e+03   0.115331e+01   0.838414e+00
 81   0.147062e+03   0.115020e+01   0.834879e+00
 82   0.151132e+03   0.114697e+01   0.831273e+00
 83   0.155258e+03   0.114362e+01   0.827599e+00
 84   0.159439e+03   0.114017e+01   0.823860e+00
 85   0.163675e+03   0.113662e+01   0.820056e+00
 86   0.167964e+03   0.113297e+01   0.816185e+00
 87   0.172307e+03   0.112922e+01   0.812251e+00
 88   0.176703e+03   0.112537e+01   0.808254e+00
 89   0.181150e+03   0.112142e+01   0.804195e+00
 90   0.185650e+03   0.111739e+01   0.800076e+00
 91   0.190200e+03   0.111329e+01   0.795899e+00
 92   0.194800e+03   0.110912e+01   0.791665e+00
 93   0.199450e+03   0.110489e+01   0.787372e+00
 94   0.204149e+03   0.110061e+01   0.783021e+00
 95   0.208896e+03   0.109628e+01   0.778613e+00
 96   0.213691e+03   0.109188e+01   0.774151e+00
 97   0.218532e+03   0.108741e+01   0.769636e+00
 98   0.223419e+03   0.108286e+01   0.765068e+00
 99   0.228352e+03   0.107824e+01   0.760446e+00
100   0.233329e+03   0.107353e+01   0.755771e+00
101   0.238350e+03   0.106875e+01   0.751046e+00
102   0.243415e+03   0.106388e+01   0.746274e+00
103   0.248521e+03   0.105892e+01   0.741457e+00
104   0.253670e+03   0.105388e+01   0.736595e+00
105   0.258859e+03   0.104873e+01   0.731686e+00
106   0.264088e+03   0.104349e+01   0.726735e+00
107   0.269357e+03   0.103816e+01   0.721742e+00
108   0.274664e+03   0.103273e+01   0.716709e+00
109   0.280009e+03   0.102722e+01   0.711635e+00
110   0.285392e+03   0.102165e+01   0.706519e+00
111   0.290810e+03   0.101601e+01   0.701363e+00
112   0.296265e+03   0.101029e+01   0.696166e+00
113   0.301754e+03   0.100451e+01   0.690931e+00
114   0.307278e+03   0.998676e+00   0.685661e+00
115   0.312835e+03   0.992783e+00   0.680356e+00
116   0.318424e+03   0.986843e+00   0.675021e+00
117   0.324046e+03   0.980866e+00   0.669656e+00
118   0.329699e+03   0.974860e+00   0.664258e+00
119   0.335382e+03   0.968831e+00   0.658826e+00
