%----------------------------------------------------------------
%  Reference : H. Abe, H. Kawamura and Y. Matsuo,
%  "Surface heat-flux fluctuations in a turbulent channel flow
%  up to Re_tau=1020 with Pr=0.025 and 0.71," 
%  Int. J. Heat and Fluid Flow, vol. 25, pp. 404-419, 2004.
%  DOI: https://doi.org/10.1016/j.ijheatfluidflow.2004.02.010
%----------------------------------------------------------------
Case: cha1020

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     6.38 and 4.25 wall units in the x- and z-directions
     and 0.15 to 7.32 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 448 x 1536

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 13,950 nu/u_tau^2
     after the flow reaches the fully developed state.  This integration time
     corresponds to about 20 washing out times through the computational domain.


2. Conditions

2.1. Specified conditions

     Re_tau = 1020

2.2. Obtained mean quantities

     Re_bulk = 41441


3. Turbulence statistics

  j      y+            u_mean            uu+            ww+
   6.748241e+02   3.212363e-03   5.968958e-04  -2.343269e-03   2.817861e-06   1.449608e-03   1.920014e-05
   6.813845e+02   3.108139e-03   6.125665e-04  -2.281945e-03   3.536506e-06   1.423645e-03   1.865128e-05
   6.879528e+02   3.004489e-03   6.293339e-04  -2.220607e-03   3.487824e-06   1.398327e-03   1.837618e-05
   6.945291e+02   2.902193e-03   6.460784e-04  -2.159335e-03   2.713880e-06   1.373398e-03   1.825230e-05
   7.011133e+02   2.801297e-03   6.622402e-04  -2.098103e-03   1.743731e-06   1.349034e-03   1.814345e-05
   7.077054e+02   2.701606e-03   6.779109e-04  -2.037364e-03   1.507970e-06   1.325545e-03   1.811592e-05
   7.143056e+02   2.603098e-03   6.943168e-04  -1.977839e-03   1.240213e-06   1.302785e-03   1.803098e-05
   7.209138e+02   2.505730e-03   7.115374e-04  -1.919841e-03   1.029536e-06   1.280536e-03   1.791980e-05
   7.275301e+02   2.409464e-03   7.294943e-04  -1.863505e-03   7.481010e-07   1.258724e-03   1.747756e-05
   7.341546e+02   2.314825e-03   7.476849e-04  -1.808572e-03   2.276391e-07   1.237439e-03   1.672646e-05
   7.407875e+02   2.222413e-03   7.651077e-04  -1.754882e-03  -1.121788e-08   1.216748e-03   1.587993e-05
   7.474287e+02   2.132032e-03   7.822731e-04  -1.702919e-03   9.018326e-08   1.196554e-03   1.492305e-05
   7.540786e+02   2.043271e-03   8.001961e-04  -1.652993e-03   3.831659e-07   1.176915e-03   1.394226e-05
   7.607371e+02   1.955982e-03   8.187573e-04  -1.604877e-03   1.111703e-06   1.157958e-03   1.301603e-05
   7.674045e+02   1.869952e-03   8.379762e-04  -1.558471e-03   2.199800e-06   1.139580e-03   1.207639e-05
   7.740809e+02   1.784906e-03   8.583123e-04  -1.513672e-03   3.157827e-06   1.121633e-03   1.107091e-05
   7.807666e+02   1.700816e-03   8.790973e-04  -1.469856e-03   3.940587e-06   1.104000e-03   9.997784e-06
   7.874617e+02   1.617715e-03   8.993434e-04  -1.426159e-03   4.689250e-06   1.086526e-03   9.062455e-06
   7.941666e+02   1.535615e-03   9.192481e-04  -1.382475e-03   5.237799e-06   1.069267e-03   8.358527e-06
   8.008814e+02   1.454917e-03   9.394527e-04  -1.339303e-03   5.339052e-06   1.052652e-03   7.754133e-06
   8.076064e+02   1.376053e-03   9.590398e-04  -1.296764e-03   5.990853e-06   1.037069e-03   7.249650e-06
   8.143420e+02   1.298929e-03   9.776393e-04  -1.254841e-03   7.298404e-06   1.022346e-03   6.680248e-06
   8.210884e+02   1.223271e-03   9.960354e-04  -1.213589e-03   8.269878e-06   1.008070e-03   5.917812e-06
   8.278459e+02   1.148882e-03   1.014857e-03  -1.173179e-03   8.445834e-06   9.940357e-04   4.970051e-06
   8.346149e+02   1.075840e-03   1.034301e-03  -1.133819e-03   7.856240e-06   9.803462e-04   3.831441e-06
   8.413958e+02   1.004632e-03   1.053350e-03  -1.095368e-03   7.431187e-06   9.672891e-04   2.756802e-06
   8.481889e+02   9.357815e-04   1.071498e-03  -1.058058e-03   7.491272e-06   9.548711e-04   1.842308e-06
   8.549947e+02   8.695752e-04   1.089213e-03  -1.022402e-03   7.577251e-06   9.429303e-04   1.033323e-06
   8.618136e+02   8.059690e-04   1.106516e-03  -9.887206e-04   7.989329e-06   9.314404e-04   3.134296e-07
   8.686461e+02   7.446704e-04   1.123463e-03  -9.572020e-04   9.119920e-06   9.203608e-04  -3.099553e-07
   8.754926e+02   6.853713e-04   1.140397e-03  -9.277528e-04   1.057137e-05   9.094629e-04  -8.764685e-07
   8.823536e+02   6.279390e-04   1.157783e-03  -8.998022e-04   1.148467e-05   8.986839e-04  -1.279460e-06
   8.892297e+02   5.724581e-04   1.175632e-03  -8.729393e-04   1.164249e-05   8.882197e-04  -1.426825e-06
   8.961214e+02   5.191024e-04   1.193404e-03  -8.471883e-04   1.151090e-05   8.782774e-04  -1.448567e-06
   9.030293e+02   4.680183e-04   1.210558e-03  -8.226592e-04   1.165372e-05   8.690337e-04  -1.463348e-06
   9.099541e+02   4.192062e-04   1.227040e-03  -7.992864e-04   1.211738e-05   8.605121e-04  -1.434909e-06
   9.168962e+02   3.725593e-04   1.243046e-03  -7.768998e-04   1.265191e-05   8.526809e-04  -1.323422e-06
   9.238565e+02   3.279505e-04   1.258634e-03  -7.556689e-04   1.341730e-05   8.455058e-04  -1.172852e-06
   9.308356e+02   2.853121e-04   1.273831e-03  -7.356392e-04   1.441280e-05   8.389163e-04  -9.992225e-07
   9.378343e+02   2.448989e-04   1.288788e-03  -7.166438e-04   1.502013e-05   8.328933e-04  -8.304382e-07
   9.448532e+02   2.072298e-04   1.302870e-03  -6.985045e-04   1.532288e-05   8.274657e-04  -5.470602e-07
   9.518933e+02   1.726391e-04   1.315357e-03  -6.814208e-04   1.585360e-05   8.226308e-04  -2.021031e-07
   9.589553e+02   1.411956e-04   1.325791e-03  -6.655853e-04   1.705315e-05   8.182751e-04   1.797358e-07
   9.660402e+02   1.129518e-04   1.335069e-03  -6.511355e-04   1.790800e-05   8.142382e-04   5.555104e-07
   9.731487e+02   8.797514e-05   1.343722e-03  -6.381340e-04   1.802820e-05   8.104797e-04   1.111907e-06
   9.802820e+02   6.624737e-05   1.351652e-03  -6.267921e-04   1.775392e-05   8.071274e-04   1.733887e-06
   9.874410e+02   4.776906e-05   1.358404e-03  -6.170800e-04   1.765612e-05   8.043214e-04   2.427982e-06
   9.946268e+02   3.263540e-05   1.364082e-03  -6.090113e-04   1.764825e-05   8.021129e-04   3.240998e-06
   1.001840e+03   2.096545e-05   1.368652e-03  -6.026328e-04   1.772046e-05   8.005430e-04   4.161975e-06
   1.009083e+03   1.285544e-05   1.372033e-03  -5.979972e-04   1.779334e-05   7.995715e-04   5.113463e-06
   1.016356e+03   8.461810e-06   1.373992e-03  -5.950177e-04   1.757256e-05   7.989952e-04   6.013238e-06


Budget of vv+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   3.078907e-01   0.000000e+00  -1.567467e-08  -4.649952e-05   1.641784e-04   1.152666e-04   2.396587e-06
   6.237638e-01   0.000000e+00  -2.032894e-07  -1.521498e-04   5.113336e-04   3.540146e-04   4.965850e-06
   9.489043e-01   0.000000e+00  -1.032783e-06  -2.798291e-04   9.824256e-04   6.937078e-04   7.855966e-06
   1.284616e+00   0.000000e+00  -3.227737e-06  -3.996541e-04   1.511454e-03   1.097188e-03   1.138469e-05
   1.632221e+00   0.000000e+00  -7.541322e-06  -4.880103e-04   2.048221e-03   1.536757e-03   1.591233e-05
   1.993054e+00   0.000000e+00  -1.443731e-05  -5.268252e-04   2.555596e-03   1.992523e-03   2.181045e-05
   2.368464e+00   0.000000e+00  -2.360248e-05  -5.031158e-04   3.007390e-03   2.451223e-03   2.944913e-05
   2.759810e+00   0.000000e+00  -3.325210e-05  -4.088117e-04   3.386536e-03   2.905310e-03   3.916186e-05
   3.168460e+00   0.000000e+00  -3.933951e-05  -2.407509e-04   3.683483e-03   3.352159e-03   5.123379e-05
   3.595785e+00   0.000000e+00  -3.489287e-05  -6.675320e-07   3.894750e-03   3.793309e-03   6.588050e-05
   4.043163e+00   0.000000e+00  -9.712123e-06   3.050237e-04   4.021600e-03   4.233673e-03   8.323875e-05
   4.511971e+00   0.000000e+00   4.939991e-05   6.658069e-04   4.068820e-03   4.680683e-03   1.033437e-04
   5.003584e+00   0.000000e+00   1.577814e-04   1.068110e-03   4.043593e-03   5.143353e-03   1.261307e-04
   5.519377e+00   0.000000e+00   3.314137e-04   1.496848e-03   3.954441e-03   5.631287e-03   1.514155e-04
   6.060715e+00   0.000000e+00   5.848276e-04   1.937453e-03   3.810315e-03   6.153689e-03   1.789063e-04
   6.628961e+00   0.000000e+00   9.285760e-04   2.378232e-03   3.619847e-03   6.718456e-03   2.081986e-04
   7.225463e+00   0.000000e+00   1.366572e-03   2.812789e-03   3.390870e-03   7.331430e-03   2.388011e-04
   7.851563e+00   0.000000e+00   1.893685e-03   3.242151e-03   3.130207e-03   7.995884e-03   2.701585e-04
   8.508585e+00   0.000000e+00   2.494029e-03   3.676179e-03   2.843740e-03   8.712250e-03   3.016977e-04
   9.197842e+00   0.000000e+00   3.140400e-03   4.133886e-03   2.536684e-03   9.478110e-03   3.328592e-04
   9.920628e+00   0.000000e+00   3.795141e-03   4.642420e-03   2.213976e-03   1.028841e-02   3.631266e-04
   1.067822e+01   0.000000e+00   4.412539e-03   5.234689e-03   1.880663e-03   1.113580e-02   3.920961e-04
   1.147188e+01   0.000000e+00   4.942555e-03   5.945833e-03   1.542170e-03   1.201111e-02   4.194502e-04
   1.230283e+01   0.000000e+00   5.335450e-03   6.809017e-03   1.204390e-03   1.290386e-02   4.449960e-04
   1.317230e+01   0.000000e+00   5.546717e-03   7.851089e-03   8.735602e-04   1.380273e-02   4.686344e-04
   1.408148e+01   0.000000e+00   5.541651e-03   9.088746e-03   5.559760e-04   1.469602e-02   4.903559e-04
   1.503153e+01   0.000000e+00   5.298860e-03   1.052580e-02   2.575915e-04   1.557202e-02   5.102248e-04
   1.602360e+01   0.000000e+00   4.812347e-03   1.215179e-02  -1.637990e-05   1.641944e-02   5.283211e-04
   1.705879e+01   0.000000e+00   4.091903e-03   1.394226e-02  -2.617773e-04   1.722765e-02   5.447309e-04
   1.813820e+01   0.000000e+00   3.161932e-03   1.586028e-02  -4.756747e-04   1.798701e-02   5.595314e-04
   1.926288e+01   0.000000e+00   2.059065e-03   1.785921e-02  -6.564548e-04   1.868904e-02   5.727856e-04
   2.043387e+01   0.000000e+00   8.288096e-04   1.988612e-02  -8.037827e-04   1.932664e-02   5.845055e-04
   2.165217e+01   0.000000e+00  -4.782639e-04   2.188567e-02  -9.185098e-04   1.989419e-02   5.947034e-04
   2.291874e+01   0.000000e+00  -1.810155e-03   2.380357e-02  -1.002517e-03   2.038755e-02   6.033393e-04
   2.423452e+01   0.000000e+00  -3.116856e-03   2.558973e-02  -1.058390e-03   2.080416e-02   6.103291e-04
   2.560042e+01   0.000000e+00  -4.353338e-03   2.720094e-02  -1.089090e-03   2.114287e-02   6.156464e-04
   2.701732e+01   0.000000e+00  -5.481268e-03   2.860233e-02  -1.097843e-03   2.140388e-02   6.193383e-04
   2.848606e+01   0.000000e+00  -6.469646e-03   2.976775e-02  -1.088039e-03   2.158869e-02   6.213786e-04
   3.000744e+01   0.000000e+00  -7.295490e-03   3.068008e-02  -1.062976e-03   2.169984e-02   6.217815e-04
   3.158224e+01   0.000000e+00  -7.944499e-03   3.133148e-02  -1.025646e-03   2.174079e-02   6.205438e-04
   3.321120e+01   0.000000e+00  -8.411450e-03   3.172358e-02  -9.787170e-04   2.171566e-02   6.177498e-04
   3.489504e+01   0.000000e+00  -8.699838e-03   3.186700e-02  -9.246334e-04   2.162905e-02   6.134775e-04
   3.663442e+01   0.000000e+00  -8.820221e-03   3.177977e-02  -8.657535e-04   2.148594e-02   6.078605e-04
   3.842998e+01   0.000000e+00  -8.788278e-03   3.148518e-02  -8.043806e-04   2.129147e-02   6.010586e-04
   4.028232e+01   0.000000e+00  -8.622683e-03   3.100933e-02  -7.424549e-04   2.105098e-02   5.932122e-04
   4.219202e+01   0.000000e+00  -8.342937e-03   3.037864e-02  -6.812884e-04   2.076990e-02   5.845162e-04
   4.415961e+01   0.000000e+00  -7.968001e-03   2.961844e-02  -6.216994e-04   2.045358e-02   5.751610e-04
   4.618558e+01   0.000000e+00  -7.516043e-03   2.875277e-02  -5.643442e-04   2.010711e-02   5.652706e-04
   4.827040e+01   0.000000e+00  -7.005004e-03   2.780511e-02  -5.097809e-04   1.973531e-02   5.550095e-04
   5.041451e+01   0.000000e+00  -6.452685e-03   2.679818e-02  -4.582944e-04   1.934272e-02   5.444854e-04
   5.261828e+01   0.000000e+00  -5.876210e-03   2.575336e-02  -4.097617e-04   1.893352e-02   5.338656e-04
   5.488208e+01   0.000000e+00  -5.290795e-03   2.468993e-02  -3.642317e-04   1.851160e-02   5.233071e-04
   5.720624e+01   0.000000e+00  -4.708427e-03   2.362390e-02  -3.221886e-04   1.808041e-02   5.128752e-04
   5.959103e+01   0.000000e+00  -4.138486e-03   2.256814e-02  -2.839899e-04   1.764315e-02   5.025068e-04
   6.203673e+01   0.000000e+00  -3.589595e-03   2.153378e-02  -2.493514e-04   1.720267e-02   4.921606e-04
   6.454354e+01   0.000000e+00  -3.069749e-03   2.053094e-02  -2.179320e-04   1.676142e-02   4.818371e-04
   6.711166e+01   0.000000e+00  -2.585619e-03   1.956840e-02  -1.898625e-04   1.632151e-02   4.714066e-04
   6.974123e+01   0.000000e+00  -2.143148e-03   1.865387e-02  -1.649612e-04   1.588483e-02   4.609241e-04
   7.243237e+01   0.000000e+00  -1.745809e-03   1.779226e-02  -1.428761e-04   1.545308e-02   4.504924e-04
   7.518518e+01   0.000000e+00  -1.393571e-03   1.698492e-02  -1.236473e-04   1.502757e-02   4.401330e-04
   7.799970e+01   0.000000e+00  -1.084703e-03   1.623098e-02  -1.070991e-04   1.460932e-02   4.298535e-04
   8.087595e+01   0.000000e+00  -8.165592e-04   1.552818e-02  -9.276586e-05   1.419913e-02   4.197228e-04
   8.381393e+01   0.000000e+00  -5.855167e-04   1.487327e-02  -8.035572e-05   1.379774e-02   4.096560e-04
   8.681359e+01   0.000000e+00  -3.884493e-04   1.426333e-02  -6.946263e-05   1.340571e-02   3.997100e-04
   8.987485e+01   0.000000e+00  -2.213337e-04   1.369451e-02  -5.980277e-05   1.302340e-02   3.899726e-04
   9.299762e+01   0.000000e+00  -7.878745e-05   1.316149e-02  -5.132821e-05   1.265103e-02   3.803387e-04
   9.618176e+01   0.000000e+00   4.338759e-05   1.265983e-02  -4.368229e-05   1.228880e-02   3.707421e-04
   9.942710e+01   0.000000e+00   1.475434e-04   1.218718e-02  -3.672472e-05   1.193683e-02   3.611736e-04
   1.027335e+02   0.000000e+00   2.342395e-04   1.174332e-02  -3.079678e-05   1.159521e-02   3.515601e-04
   1.061006e+02   0.000000e+00   3.023898e-04   1.132948e-02  -2.576204e-05   1.126401e-02   3.420971e-04
   1.095283e+02   0.000000e+00   3.524398e-04   1.094539e-02  -2.169832e-05   1.094330e-02   3.328311e-04
   1.130163e+02   0.000000e+00   3.849757e-04   1.059030e-02  -1.858238e-05   1.063304e-02   3.236579e-04
   1.165642e+02   0.000000e+00   4.000688e-04   1.026368e-02  -1.605791e-05   1.033302e-02   3.146637e-04
   1.201718e+02   0.000000e+00   3.999312e-04   9.962947e-03  -1.389219e-05   1.004309e-02   3.058985e-04
   1.238387e+02   0.000000e+00   3.884647e-04   9.683892e-03  -1.199174e-05   9.763039e-03   2.973260e-04
   1.275644e+02   0.000000e+00   3.693130e-04   9.422525e-03  -1.032036e-05   9.492605e-03   2.889132e-04
   1.313487e+02   0.000000e+00   3.450648e-04   9.175794e-03  -8.825678e-06   9.231433e-03   2.805997e-04
   1.351911e+02   0.000000e+00   3.168618e-04   8.942305e-03  -7.615508e-06   8.979148e-03   2.724038e-04
   1.390912e+02   0.000000e+00   2.851222e-04   8.721355e-03  -6.634288e-06   8.735449e-03   2.643934e-04
   1.430484e+02   0.000000e+00   2.512565e-04   8.511145e-03  -5.727450e-06   8.500156e-03   2.565183e-04
   1.470624e+02   0.000000e+00   2.169482e-04   8.309838e-03  -4.829336e-06   8.273166e-03   2.487906e-04
   1.511325e+02   0.000000e+00   1.837571e-04   8.115874e-03  -3.980388e-06   8.054291e-03   2.413594e-04
   1.552583e+02   0.000000e+00   1.536852e-04   7.927265e-03  -3.407250e-06   7.843338e-03   2.342048e-04
   1.594392e+02   0.000000e+00   1.269785e-04   7.743614e-03  -3.160217e-06   7.640039e-03   2.273939e-04
   1.636747e+02   0.000000e+00   1.026468e-04   7.565552e-03  -3.305036e-06   7.443975e-03   2.209188e-04
   1.679641e+02   0.000000e+00   7.884231e-05   7.393977e-03  -3.363369e-06   7.254702e-03   2.147539e-04
   1.723070e+02   0.000000e+00   5.407039e-05   7.229637e-03  -2.927415e-06   7.071865e-03   2.089145e-04
   1.767027e+02   0.000000e+00   2.895451e-05   7.071876e-03  -2.397512e-06   6.895195e-03   2.032380e-04
   1.811505e+02   0.000000e+00   4.085754e-06   6.920290e-03  -2.238274e-06   6.724491e-03   1.976469e-04
   1.856498e+02   0.000000e+00  -2.092257e-05   6.775037e-03  -2.216297e-06   6.559619e-03   1.922793e-04
   1.902000e+02   0.000000e+00  -4.507683e-05   6.634938e-03  -2.114391e-06   6.400583e-03   1.871635e-04
   1.948005e+02   0.000000e+00  -6.599143e-05   6.497394e-03  -1.927238e-06   6.247288e-03   1.821871e-04
   1.994505e+02   0.000000e+00  -8.258862e-05   6.360966e-03  -1.627314e-06   6.099405e-03   1.773452e-04
   2.041493e+02   0.000000e+00  -9.550129e-05   6.226393e-03  -1.584437e-06   5.956607e-03   1.727000e-04
   2.088963e+02   0.000000e+00  -1.063401e-04   6.095057e-03  -1.742138e-06   5.818700e-03   1.682746e-04
   2.136908e+02   0.000000e+00  -1.159455e-04   5.967494e-03  -1.829487e-06   5.685541e-03   1.641784e-04
   2.185321e+02   0.000000e+00  -1.226653e-04   5.841533e-03  -1.884772e-06   5.556850e-03   1.601329e-04
   2.234194e+02   0.000000e+00  -1.265549e-04   5.716742e-03  -1.858164e-06   5.432247e-03   1.560819e-04
   2.283521e+02   0.000000e+00  -1.301259e-04   5.595418e-03  -1.674016e-06   5.311446e-03   1.521727e-04
   2.333293e+02   0.000000e+00  -1.354307e-04   5.479509e-03  -1.474389e-06   5.194229e-03   1.483755e-04
   2.383504e+02   0.000000e+00  -1.424836e-04   5.368885e-03  -1.344565e-06   5.080401e-03   1.446561e-04
   2.434146e+02   0.000000e+00  -1.496346e-04   5.261915e-03  -1.507262e-06   4.969791e-03   1.409821e-04
   2.485213e+02   0.000000e+00  -1.557422e-04   5.157106e-03  -1.759782e-06   4.862130e-03   1.374739e-04
   2.536695e+02   0.000000e+00  -1.598888e-04   5.053335e-03  -2.167601e-06   4.757253e-03   1.340256e-04
   2.588587e+02   0.000000e+00  -1.629874e-04   4.951240e-03  -2.465651e-06   4.655116e-03   1.306702e-04
   2.640880e+02   0.000000e+00  -1.660024e-04   4.851490e-03  -2.313477e-06   4.555666e-03   1.275089e-04
   2.693567e+02   0.000000e+00  -1.676006e-04   4.752634e-03  -1.813156e-06   4.458850e-03   1.243708e-04
   2.746640e+02   0.000000e+00  -1.663844e-04   4.653484e-03  -1.187994e-06   4.364623e-03   1.212886e-04
   2.800093e+02   0.000000e+00  -1.617255e-04   4.553847e-03  -8.767356e-07   4.272997e-03   1.182481e-04
   2.853916e+02   0.000000e+00  -1.549384e-04   4.455085e-03  -8.454804e-07   4.184004e-03   1.152967e-04
   2.908104e+02   0.000000e+00  -1.478278e-04   4.358751e-03  -7.864086e-07   4.097649e-03   1.124878e-04
   2.962649e+02   0.000000e+00  -1.406744e-04   4.264951e-03  -6.446531e-07   4.013839e-03   1.097933e-04
   3.017543e+02   0.000000e+00  -1.338238e-04   4.173860e-03  -4.455335e-07   3.932470e-03   1.071216e-04
   3.072778e+02   0.000000e+00  -1.291640e-04   4.087267e-03  -2.214389e-07   3.853425e-03   1.044570e-04
   3.128348e+02   0.000000e+00  -1.290894e-04   4.007671e-03  -1.514438e-10   3.776588e-03   1.019942e-04
   3.184244e+02   0.000000e+00  -1.326842e-04   3.934026e-03   2.099821e-07   3.701853e-03   9.969855e-05
   3.240461e+02   0.000000e+00  -1.358917e-04   3.862137e-03   2.963516e-07   3.629082e-03   9.745939e-05
   3.296990e+02   0.000000e+00  -1.353514e-04   3.788400e-03   2.848382e-07   3.558094e-03   9.523968e-05
   3.353825e+02   0.000000e+00  -1.301602e-04   3.711753e-03   2.099005e-07   3.488750e-03   9.305248e-05
   3.410958e+02   0.000000e+00  -1.220337e-04   3.633791e-03   1.377204e-07   3.420977e-03   9.091726e-05
   3.468382e+02   0.000000e+00  -1.143231e-04   3.558053e-03   1.247134e-07   3.354803e-03   8.905209e-05
   3.526090e+02   0.000000e+00  -1.083368e-04   3.485888e-03   1.131543e-07   3.290208e-03   8.745618e-05
   3.584076e+02   0.000000e+00  -1.033563e-04   3.416438e-03   1.332282e-07   3.227218e-03   8.599629e-05
   3.642333e+02   0.000000e+00  -9.833857e-05   3.348541e-03   2.362085e-07   3.165853e-03   8.458609e-05
   3.700853e+02   0.000000e+00  -9.235636e-05   3.281621e-03  -6.644127e-08   3.106052e-03   8.314609e-05
   3.759631e+02   0.000000e+00  -8.513292e-05   3.214996e-03  -6.023370e-07   3.047675e-03   8.158592e-05
   3.818660e+02   0.000000e+00  -7.692941e-05   3.148363e-03  -8.939020e-07   2.990534e-03   8.000546e-05
   3.877932e+02   0.000000e+00  -6.762516e-05   3.081339e-03  -9.210154e-07   2.934445e-03   7.834859e-05
   3.937443e+02   0.000000e+00  -5.805447e-05   3.014909e-03  -7.908555e-07   2.879410e-03   7.665433e-05
   3.997185e+02   0.000000e+00  -4.927242e-05   2.950377e-03  -6.543575e-07   2.825481e-03   7.496939e-05
   4.057152e+02   0.000000e+00  -4.172656e-05   2.888319e-03  -5.996962e-07   2.772645e-03   7.334773e-05
   4.117339e+02   0.000000e+00  -3.467756e-05   2.827879e-03  -6.377009e-07   2.720836e-03   7.172826e-05
   4.177739e+02   0.000000e+00  -2.701450e-05   2.767675e-03  -5.883921e-07   2.669947e-03   7.012503e-05
   4.238347e+02   0.000000e+00  -1.843661e-05   2.707238e-03  -2.929096e-07   2.619916e-03   6.859281e-05
   4.299157e+02   0.000000e+00  -9.403338e-06   2.647294e-03   5.228966e-08   2.570781e-03   6.716185e-05
   4.360162e+02   0.000000e+00  -5.477173e-07   2.588647e-03   3.264725e-07   2.522631e-03   6.579465e-05
   4.421359e+02   0.000000e+00   7.931099e-06   2.531564e-03   5.167585e-07   2.475535e-03   6.447708e-05
   4.482741e+02   0.000000e+00   1.700671e-05   2.475042e-03   6.000025e-07   2.429466e-03   6.318214e-05
   4.544302e+02   0.000000e+00   2.795060e-05   2.417746e-03   5.107262e-07   2.384326e-03   6.188116e-05
   4.606039e+02   0.000000e+00   4.155123e-05   2.358857e-03   1.576196e-07   2.340046e-03   6.051987e-05
   4.667945e+02   0.000000e+00   5.717048e-05   2.298722e-03  -2.341108e-07   2.296616e-03   5.904300e-05
   4.730017e+02   0.000000e+00   7.346895e-05   2.238576e-03  -4.086050e-07   2.254064e-03   5.757252e-05
   4.792248e+02   0.000000e+00   9.059210e-05   2.178267e-03  -3.873755e-07   2.212375e-03   5.609674e-05
   4.854636e+02   0.000000e+00   1.081931e-04   2.118311e-03  -2.438456e-07   2.171590e-03   5.467058e-05
   4.917174e+02   0.000000e+00   1.247984e-04   2.060416e-03  -8.184376e-08   2.131705e-03   5.342756e-05
   4.979858e+02   0.000000e+00   1.395371e-04   2.005333e-03   8.012876e-08   2.092571e-03   5.237930e-05
   5.042685e+02   0.000000e+00   1.527944e-04   1.952294e-03   3.454184e-07   2.053980e-03   5.145384e-05
   5.105651e+02   0.000000e+00   1.654480e-04   1.900402e-03   5.984609e-07   2.015904e-03   5.054427e-05
   5.168750e+02   0.000000e+00   1.777508e-04   1.849440e-03   7.980988e-07   1.978409e-03   4.957908e-05
   5.231980e+02   0.000000e+00   1.893476e-04   1.799616e-03   1.046113e-06   1.941502e-03   4.850786e-05
   5.295337e+02   0.000000e+00   1.994279e-04   1.751797e-03   1.420664e-06   1.905237e-03   4.740887e-05
   5.358817e+02   0.000000e+00   2.083952e-04   1.705748e-03   1.883792e-06   1.869700e-03   4.632623e-05
   5.422416e+02   0.000000e+00   2.171793e-04   1.660878e-03   2.182705e-06   1.834927e-03   4.531304e-05
   5.486132e+02   0.000000e+00   2.261304e-04   1.616957e-03   2.286228e-06   1.800932e-03   4.444131e-05
   5.549961e+02   0.000000e+00   2.358942e-04   1.573229e-03   2.304263e-06   1.767727e-03   4.369997e-05
   5.613900e+02   0.000000e+00   2.473881e-04   1.528676e-03   2.248612e-06   1.735317e-03   4.299575e-05
   5.677947e+02   0.000000e+00   2.603702e-04   1.483345e-03   2.229163e-06   1.703656e-03   4.228886e-05
   5.742097e+02   0.000000e+00   2.732368e-04   1.438664e-03   2.364730e-06   1.672655e-03   4.161050e-05
   5.806350e+02   0.000000e+00   2.848452e-04   1.395876e-03   2.544746e-06   1.642291e-03   4.097509e-05
   5.870702e+02   0.000000e+00   2.950189e-04   1.355344e-03   2.624180e-06   1.612619e-03   4.036849e-05
   5.935152e+02   0.000000e+00   3.043763e-04   1.316649e-03   2.422406e-06   1.583679e-03   3.976859e-05
   5.999696e+02   0.000000e+00   3.139448e-04   1.278614e-03   1.996579e-06   1.555448e-03   3.910739e-05
   6.064333e+02   0.000000e+00   3.239331e-04   1.240891e-03   1.499181e-06   1.527919e-03   3.840365e-05
   6.129060e+02   0.000000e+00   3.339044e-04   1.203752e-03   9.756444e-07   1.501026e-03   3.760556e-05
   6.193877e+02   0.000000e+00   3.425810e-04   1.168240e-03   5.007631e-07   1.474622e-03   3.670061e-05
   6.258782e+02   0.000000e+00   3.487470e-04   1.135354e-03   2.460456e-07   1.448633e-03   3.571435e-05
   6.323773e+02   0.000000e+00   3.522226e-04   1.105201e-03   3.639252e-07   1.423066e-03   3.472195e-05
   6.388848e+02   0.000000e+00   3.540415e-04   1.076951e-03   7.281748e-07   1.397920e-03   3.380082e-05
   6.454007e+02   0.000000e+00   3.560411e-04   1.048873e-03   1.156238e-06   1.373153e-03   3.291738e-05
   6.519248e+02   0.000000e+00   3.595451e-04   1.019769e-03   1.562854e-06   1.348788e-03   3.208835e-05
