%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha640

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     4.00 and 4.00 wall units in the x- and z-directions
     and 0.15 to 8.02 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     2048 x 256 x 1024

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 6,385 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 640

2.2. Obtained mean quantities

     Re_bulk = 24095


3. Turbulence statistics

  j       y+            u_mean+         uu+            ww+
 91   3.609380E+02   2.024045E+01   1.664420E+00   8.331675E-01
 92   3.680203E+02   2.030299E+01   1.628930E+00   8.148509E-01
 93   3.751213E+02   2.036453E+01   1.594032E+00   7.968281E-01
 94   3.822403E+02   2.042502E+01   1.559802E+00   7.792022E-01
 95   3.893768E+02   2.048441E+01   1.526186E+00   7.619550E-01
 96   3.965301E+02   2.054272E+01   1.493105E+00   7.449613E-01
 97   4.036999E+02   2.059994E+01   1.460568E+00   7.281300E-01
 98   4.108857E+02   2.065607E+01   1.428473E+00   7.114984E-01
 99   4.180872E+02   2.071116E+01   1.396674E+00   6.949839E-01
100   4.253043E+02   2.076519E+01   1.365008E+00   6.786422E-01
101   4.325368E+02   2.081819E+01   1.333282E+00   6.626802E-01
102   4.397847E+02   2.087020E+01   1.301412E+00   6.472768E-01
103   4.470481E+02   2.092124E+01   1.269342E+00   6.325233E-01
104   4.543271E+02   2.097130E+01   1.237044E+00   6.183137E-01
105   4.616220E+02   2.102038E+01   1.204720E+00   6.044335E-01
106   4.689331E+02   2.106844E+01   1.172785E+00   5.907391E-01
107   4.762609E+02   2.111536E+01   1.141523E+00   5.771210E-01
108   4.836059E+02   2.116106E+01   1.110995E+00   5.635743E-01
109   4.909688E+02   2.120553E+01   1.081064E+00   5.502778E-01
110   4.983502E+02   2.124871E+01   1.051465E+00   5.374396E-01
111   5.057511E+02   2.129049E+01   1.022045E+00   5.251239E-01
112   5.131724E+02   2.133077E+01   9.929421E-01   5.133498E-01
113   5.206152E+02   2.136941E+01   9.644586E-01   5.021584E-01
114   5.280806E+02   2.140634E+01   9.368313E-01   4.915050E-01
115   5.355700E+02   2.144150E+01   9.101451E-01   4.813333E-01
116   5.430849E+02   2.147485E+01   8.843735E-01   4.716054E-01
117   5.506268E+02   2.150629E+01   8.595283E-01   4.623964E-01
118   5.581974E+02   2.153574E+01   8.358291E-01   4.537715E-01
119   5.657987E+02   2.156304E+01   8.135068E-01   4.457449E-01
120   5.734326E+02   2.158809E+01   7.925682E-01   4.383921E-01
121   5.811014E+02   2.161085E+01   7.729518E-01   4.318095E-01
122   5.888075E+02   2.163129E+01   7.548004E-01   4.260848E-01
123   5.965535E+02   2.164934E+01   7.384011E-01   4.212123E-01
124   6.043422E+02   2.166490E+01   7.239897E-01   4.170754E-01
125   6.121766E+02   2.167785E+01   7.118126E-01   4.135879E-01
126   6.200602E+02   2.168802E+01   7.020554E-01   4.107198E-01
127   6.279963E+02   2.169529E+01   6.948172E-01   4.084693E-01
128   6.359890E+02   2.169949E+01   6.902340E-01   4.069545E-01


  j        y+            vv+           -uv+
  1   3.046630E-01   1.157825E-06   2.929791E-05
  2   6.255789E-01   1.790374E-05   2.569233E-04
  3   9.672557E-01   9.133725E-05   9.644408E-04
  4   1.334303E+00   2.957980E-04   2.562882E-03
  5   1.731407E+00   7.473497E-04   5.636027E-03
  6   2.163302E+00   1.613663E-03   1.097622E-02
  7   2.634748E+00   3.123506E-03   1.959627E-02
  8   3.150498E+00   5.573813E-03   3.269605E-02
  9   3.715284E+00   9.332296E-03   5.156409E-02
 10   4.333782E+00   1.483401E-02   7.740700E-02
 11   5.010602E+00   2.257106E-02   1.111236E-01
 12   5.750262E+00   3.307566E-02   1.530689E-01
 13   6.557174E+00   4.689726E-02   2.028744E-01
 14   7.435628E+00   6.457451E-02   2.593859E-01
 15   8.389777E+00   8.660237E-02   3.207571E-01
 16   9.423628E+00   1.133940E-01   3.846843E-01
 17   1.054103E+01   1.452386E-01   4.487264E-01
 18   1.174566E+01   1.822580E-01   5.106279E-01
 19   1.304103E+01   2.243697E-01   5.685660E-01
 20   1.443046E+01   2.712630E-01   6.212804E-01
 21   1.591708E+01   3.223973E-01   6.680831E-01
 22   1.750383E+01   3.770231E-01   7.087784E-01
 23   1.919345E+01   4.342268E-01   7.435395E-01
 24   2.098849E+01   4.929884E-01   7.727784E-01
 25   2.289128E+01   5.522454E-01   7.970336E-01
 26   2.490394E+01   6.109563E-01   8.168834E-01
 27   2.702840E+01   6.681570E-01   8.328894E-01
 28   2.926637E+01   7.230053E-01   8.455707E-01
 29   3.161934E+01   7.748119E-01   8.554007E-01
 30   3.408862E+01   8.230519E-01   8.628050E-01
 31   3.667529E+01   8.673577E-01   8.681519E-01
 32   3.938023E+01   9.075000E-01   8.717538E-01
 33   4.220411E+01   9.433659E-01   8.738776E-01
 34   4.514741E+01   9.749449E-01   8.747490E-01
 35   4.821040E+01   1.002327E+00   8.745553E-01
 36   5.139318E+01   1.025688E+00   8.734541E-01
 37   5.469564E+01   1.045278E+00   8.715842E-01
 38   5.811749E+01   1.061385E+00   8.690568E-01
 39   6.165826E+01   1.074311E+00   8.659488E-01
 40   6.531732E+01   1.084357E+00   8.623296E-01
 41   6.909385E+01   1.091842E+00   8.582628E-01
 42   7.298689E+01   1.097105E+00   8.538065E-01
 43   7.699533E+01   1.100458E+00   8.490172E-01
 44   8.111788E+01   1.102165E+00   8.439274E-01
 45   8.535316E+01   1.102440E+00   8.385517E-01
 46   8.969962E+01   1.101456E+00   8.329045E-01
 47   9.415561E+01   1.099376E+00   8.269976E-01
 48   9.871934E+01   1.096351E+00   8.208395E-01
 49   1.033889E+02   1.092504E+00   8.144358E-01
 50   1.081624E+02   1.087938E+00   8.077985E-01
 51   1.130377E+02   1.082735E+00   8.009374E-01
 52   1.180127E+02   1.076931E+00   7.938665E-01
 53   1.230851E+02   1.070561E+00   7.866110E-01
 54   1.282527E+02   1.063705E+00   7.791724E-01
 55   1.335130E+02   1.056470E+00   7.715375E-01
 56   1.388637E+02   1.048944E+00   7.637074E-01
 57   1.443023E+02   1.041213E+00   7.557024E-01
 58   1.498264E+02   1.033332E+00   7.475466E-01
 59   1.554335E+02   1.025304E+00   7.392414E-01
 60   1.611209E+02   1.017112E+00   7.307916E-01
 61   1.668863E+02   1.008766E+00   7.222070E-01
 62   1.727270E+02   1.000316E+00   7.134912E-01
 63   1.786404E+02   9.917716E-01   7.046406E-01
 64   1.846242E+02   9.830748E-01   6.956583E-01
 65   1.906756E+02   9.742138E-01   6.865439E-01
 66   1.967922E+02   9.651926E-01   6.773001E-01
 67   2.029716E+02   9.559738E-01   6.679283E-01
 68   2.092113E+02   9.465010E-01   6.584296E-01
 69   2.155088E+02   9.367562E-01   6.488183E-01
 70   2.218618E+02   9.267677E-01   6.391085E-01
 71   2.282679E+02   9.165650E-01   6.293147E-01
 72   2.347249E+02   9.061466E-01   6.194395E-01
 73   2.412305E+02   8.955223E-01   6.094873E-01
 74   2.477825E+02   8.847298E-01   5.994681E-01
 75   2.543789E+02   8.737665E-01   5.893867E-01
 76   2.610174E+02   8.626079E-01   5.792488E-01
 77   2.676963E+02   8.513251E-01   5.690640E-01
 78   2.744134E+02   8.400440E-01   5.588362E-01
 79   2.811669E+02   8.288143E-01   5.485495E-01
 80   2.879551E+02   8.176417E-01   5.382027E-01
 81   2.947762E+02   8.065153E-01   5.278044E-01
 82   3.016287E+02   7.954075E-01   5.173547E-01
 83   3.085108E+02   7.843209E-01   5.068548E-01
 84   3.154211E+02   7.732977E-01   4.963084E-01
 85   3.223582E+02   7.623449E-01   4.857276E-01
 86   3.293208E+02   7.514326E-01   4.751222E-01
 87   3.363075E+02   7.405497E-01   4.644920E-01
 88   3.433173E+02   7.297285E-01   4.538275E-01
 89   3.503491E+02   7.190296E-01   4.431225E-01
 90   3.574017E+02   7.084509E-01   4.323806E-01
 91   3.644744E+02   6.979326E-01   4.216135E-01
 92   3.715662E+02   6.874304E-01   4.108259E-01
 93   3.786764E+02   6.768897E-01   4.000257E-01
 94   3.858043E+02   6.662793E-01   3.892118E-01
 95   3.929493E+02   6.556340E-01   3.783723E-01
 96   4.001110E+02   6.450225E-01   3.675064E-01
 97   4.072888E+02   6.345202E-01   3.566134E-01
 98   4.144825E+02   6.241921E-01   3.456897E-01
 99   4.216919E+02   6.140953E-01   3.347432E-01
100   4.289167E+02   6.042717E-01   3.237716E-01
101   4.361569E+02   5.947240E-01   3.127678E-01
102   4.434125E+02   5.854294E-01   3.017347E-01
103   4.506836E+02   5.763846E-01   2.906749E-01
104   4.579705E+02   5.675908E-01   2.795830E-01
105   4.652734E+02   5.590280E-01   2.684655E-01
106   4.725928E+02   5.506803E-01   2.573362E-01
107   4.799290E+02   5.425625E-01   2.461883E-01
108   4.872828E+02   5.347124E-01   2.350129E-01
109   4.946547E+02   5.272006E-01   2.238139E-01
110   5.020457E+02   5.200902E-01   2.125958E-01
111   5.094565E+02   5.134183E-01   2.013573E-01
112   5.168883E+02   5.071895E-01   1.900952E-01
113   5.243421E+02   5.014014E-01   1.788027E-01
114   5.318192E+02   4.960506E-01   1.674723E-01
115   5.393209E+02   4.911222E-01   1.561009E-01
116   5.468489E+02   4.865938E-01   1.446866E-01
117   5.544047E+02   4.824487E-01   1.332287E-01
118   5.619901E+02   4.786860E-01   1.217283E-01
119   5.696072E+02   4.753143E-01   1.101810E-01
120   5.772580E+02   4.723322E-01   9.857364E-02
121   5.849448E+02   4.697297E-01   8.689973E-02
122   5.926702E+02   4.675050E-01   7.516034E-02
123   6.004368E+02   4.656692E-01   6.335345E-02
124   6.082476E+02   4.642209E-01   5.147646E-02
125   6.161057E+02   4.631686E-01   3.952825E-02
126   6.240146E+02   4.625543E-01   2.749961E-02
127   6.319780E+02   4.624033E-01   1.538995E-02
128   6.400000E+02   4.627070E-01   3.193374E-03


4. Budgets of transport equations

Budget of uu+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   1.523315e-01   1.407118e-05   2.600341e-05   1.036812e-03   3.253987e-01   3.264902e-01  -1.465458e-05
   4.651210e-01   2.314070e-04   4.132350e-04   2.277717e-03   3.211470e-01   3.240438e-01   2.562496e-05
   7.964173e-01   1.107679e-03   1.929507e-03   2.751037e-03   3.169691e-01   3.226915e-01   6.581953e-05
   1.150779e+00   3.324159e-03   5.601193e-03   2.460690e-03   3.103371e-01   3.216105e-01   1.126684e-04
   1.532855e+00   7.850686e-03   1.260447e-02   1.402856e-03   2.981858e-01   3.199009e-01   1.429429e-04
   1.947355e+00   1.600115e-02   2.397958e-02  -4.252121e-04   2.771426e-01   3.165559e-01   1.421483e-04
   2.399025e+00   2.942726e-02   4.011717e-02  -3.016239e-03   2.441926e-01   3.106185e-01   1.022477e-04
   2.892623e+00   4.999156e-02   6.011083e-02  -6.344662e-03   1.977288e-01   3.014555e-01   3.105614e-05
   3.432891e+00   7.946137e-02   8.124899e-02  -1.036028e-02   1.386781e-01   2.890685e-01  -4.034627e-05
   4.024533e+00   1.190062e-01   9.904316e-02  -1.498511e-02   7.115782e-02   2.742828e-01  -6.066955e-05
   4.672192e+00   1.685742e-01   1.080944e-01  -2.011422e-02   2.120989e-03   2.586522e-01   2.314838e-05
   5.380432e+00   2.263430e-01   1.037180e-01  -2.562018e-02  -6.016588e-02   2.440372e-01   2.377121e-04
   6.153718e+00   2.885218e-01   8.374491e-02  -3.135940e-02  -1.083491e-01   2.319966e-01   5.615812e-04
   6.996401e+00   3.497258e-01   4.965471e-02  -3.717835e-02  -1.380066e-01   2.232686e-01   9.269145e-04
   7.912702e+00   4.039407e-01   6.418871e-03  -4.291883e-02  -1.486064e-01   2.175871e-01   1.247228e-03
   8.906702e+00   4.458080e-01  -3.893232e-02  -4.842366e-02  -1.431001e-01   2.138960e-01   1.456003e-03
   9.982329e+00   4.717798e-01  -7.937441e-02  -5.354493e-02  -1.265108e-01   2.108166e-01   1.533087e-03
   1.114335e+01   4.807308e-01  -1.096995e-01  -5.815548e-02  -1.042473e-01   2.071232e-01   1.505294e-03
   1.239335e+01   4.738680e-01  -1.274381e-01  -6.216118e-02  -8.081190e-02   2.020317e-01   1.425218e-03
   1.373574e+01   4.540834e-01  -1.327725e-01  -6.550907e-02  -5.920618e-02   1.952513e-01   1.344339e-03
   1.517377e+01   4.250729e-01  -1.277611e-01  -6.818794e-02  -4.095961e-02   1.868691e-01   1.295119e-03
   1.671045e+01   3.905413e-01  -1.153517e-01  -7.022052e-02  -2.650074e-02   1.771809e-01   1.287497e-03
   1.834864e+01   3.536717e-01  -9.854914e-02  -7.165070e-02  -1.560628e-02   1.665501e-01   1.315420e-03
   2.009097e+01   3.168871e-01  -7.989779e-02  -7.253109e-02  -7.771891e-03   1.553219e-01   1.364365e-03
   2.193988e+01   2.818371e-01  -6.128745e-02  -7.291276e-02  -2.425818e-03   1.437925e-01   1.418610e-03
   2.389761e+01   2.495135e-01  -4.398097e-02  -7.283702e-02   9.881860e-04   1.322176e-01   1.466162e-03
   2.596617e+01   2.204116e-01  -2.873505e-02  -7.232876e-02   2.983857e-03   1.208301e-01   1.501549e-03
   2.814738e+01   1.946827e-01  -1.591821e-02  -7.140232e-02   3.999498e-03   1.098405e-01   1.521252e-03
   3.044285e+01   1.722489e-01  -5.618481e-03  -7.007252e-02   4.387481e-03   9.942160e-02   1.523819e-03
   3.285398e+01   1.528856e-01   2.285896e-03  -6.836391e-02   4.396225e-03   8.969305e-02   1.510721e-03
   3.538196e+01   1.362909e-01   8.060209e-03  -6.631450e-02   4.173235e-03   8.072849e-02   1.481337e-03
   3.802776e+01   1.221388e-01   1.201797e-02  -6.397427e-02   3.826253e-03   7.256922e-02   1.439548e-03
   4.079217e+01   1.101055e-01   1.447666e-02  -6.140031e-02   3.422379e-03   6.521646e-02   1.387809e-03
   4.367576e+01   9.988313e-02   1.574422e-02  -5.865371e-02   2.994899e-03   5.864235e-02   1.326192e-03
   4.667891e+01   9.119166e-02   1.609583e-02  -5.579312e-02   2.571331e-03   5.280856e-02   1.257143e-03
   4.980179e+01   8.378330e-02   1.576667e-02  -5.288155e-02   2.177419e-03   4.766025e-02   1.185586e-03
   5.304441e+01   7.743502e-02   1.496294e-02  -4.998943e-02   1.830430e-03   4.312794e-02   1.111023e-03
   5.640657e+01   7.195418e-02   1.386917e-02  -4.717240e-02   1.526941e-03   3.914411e-02   1.033782e-03
   5.988788e+01   6.719419e-02   1.261715e-02  -4.446452e-02   1.261029e-03   3.565148e-02   9.563581e-04
   6.348779e+01   6.303982e-02   1.127739e-02  -4.188894e-02   1.045461e-03   3.259192e-02   8.818102e-04
   6.720558e+01   5.938502e-02   9.927623e-03  -3.946544e-02   8.644591e-04   2.990358e-02   8.080869e-04
   7.104037e+01   5.613084e-02   8.633498e-03  -3.720322e-02   7.076791e-04   2.753110e-02   7.376966e-04
   7.499111e+01   5.318596e-02   7.446212e-03  -3.511067e-02   5.757987e-04   2.542732e-02   6.699800e-04
   7.905661e+01   5.048184e-02   6.400607e-03  -3.318681e-02   4.654755e-04   2.355313e-02   6.079814e-04
   8.323552e+01   4.798349e-02   5.498812e-03  -3.141866e-02   3.678375e-04   2.187888e-02   5.525973e-04
   8.752639e+01   4.566999e-02   4.727493e-03  -2.979332e-02   2.800921e-04   2.038265e-02   5.016003e-04
   9.192761e+01   4.352334e-02   4.061958e-03  -2.830063e-02   2.130250e-04   1.904274e-02   4.549442e-04
   9.643747e+01   4.153089e-02   3.484292e-03  -2.692388e-02   1.596814e-04   1.783654e-02   4.144410e-04
   1.010541e+02   3.968345e-02   2.964063e-03  -2.564328e-02   1.263133e-04   1.674942e-02   3.811194e-04
   1.057757e+02   3.796783e-02   2.482373e-03  -2.445090e-02   1.174230e-04   1.576658e-02   3.501454e-04
   1.106001e+02   3.636920e-02   2.052675e-03  -2.333779e-02   1.056997e-04   1.486979e-02   3.199888e-04
   1.155252e+02   3.487281e-02   1.677192e-03  -2.230119e-02   9.306339e-05   1.405088e-02   2.910036e-04
   1.205489e+02   3.345255e-02   1.367985e-03  -2.134340e-02   8.964778e-05   1.330209e-02   2.646897e-04
